,ticker
0,2330
1,2412
2,2600
3,2628
4,386
5,4502
6,500570
7,507685
8,6758
9,7203
10,7267
11,7751
12,8306
13,8316
14,8411
15,8591
16,8604
17,902
18,A
19,A005490
20,A015760
21,A017670
22,A030200
23,A055550
24,A105560
25,AA
26,AAL
27,AAP
28,AAPL
29,AAT
30,ABBN
31,ABBV
32,ABC
33,ABEV3
34,ABG
35,ABI
36,ABT
37,ABX
38,ACA
39,ACC
40,ACCO
41,ACGL
42,ACHC
43,ACI
44,ACIW
45,ACM
46,ACN
47,ADBE
48,ADC
49,ADI
50,ADM
51,ADNT
52,ADP
53,ADSK
54,ADT
55,ADV
56,AEE
57,AEP
58,AER
59,AES
60,AFIN
61,AFL
62,AGCO
63,AGN
64,AGO
65,AGR
66,AGRO
67,AHCO
68,AIG
69,AIMC
70,AIR
71,AIRC
72,AJG
73,AJRD
74,AKU
75,AL
76,ALB
77,ALC
78,ALE
79,ALGM
80,ALGT
81,ALK
82,ALKS
83,ALLE
84,ALLY
85,ALTG
86,ALV
87,AMAT
88,AMC
89,AMC
90,AMCX
91,AMD
92,AME
93,AMG
94,AMGN
95,AMH
96,AMKR
97,AMN
98,AMR
99,AMRX
100,AMT
101,AMX L
102,AMZN
103,AN
104,ANDINA-B
105,ANF
106,ANG
107,ANGI
108,ANIP
109,AON
110,APA
111,APD
112,APEI
113,APG
114,APH
115,APO
116,APP
117,APTV
118,AQN
119,AQUA
120,AR
121,ARCC
122,ARCH
123,ARE
124,ARES
125,ARI
126,ARIS
127,ARKO
128,ARLP
129,ARMK
130,ARNC
131,AROC
132,ARRY
133,ARW
134,ASB
135,ASGN
136,ASH
137,ASPS
138,ASTL
139,ATCX
140,ATGE
141,ATI
142,ATIP
143,ATKR
144,ATO
145,ATSG
146,ATUS
147,ATVI
148,AUD
149,AVA
150,AVB
151,AVGO
152,AVNT
153,AVT
154,AVTR
155,AVY
156,AVYA
157,AWK
158,AWR
159,AXL
160,AXP
161,AXTA
162,AY
163,AYI
164,AZN
165,AZO
166,AZTA
167,AZUL4
168,BA
169,BABA
170,BAC
171,BALY
172,BAM.A
173,BAP
174,BARC
175,BATS
176,BAX
177,BBBY
178,BBCP
179,BBDC4
180,BBGI
181,BBVA
182,BBWI
183,BBY
184,BC
185,BCC
186,BCE
187,BCO
188,BCOLOMBIA
189,BCOR
190,BDC
191,BDN
192,BDX
193,BECN
194,BEN
195,BEP.UN
196,BERY
197,BF.B
198,BFAM
199,BG
200,BGCP
201,BGS
202,BHC
203,BHF
204,BIIB
205,BIO
206,BIP
207,BJ
208,BK
209,BKH
210,BKI
211,BKNG
212,BKR
213,BLD
214,BLDR
215,BLK
216,BLL
217,BLMN
218,BLX
219,BMBL
220,BMO
221,BMY
222,BNL
223,BNS
224,BOKF
225,BOWL
226,BP.
227,BPOP
228,BR
229,BRBR
230,BRFS3
231,BRK.A
232,BRKM5
233,BRO
234,BRP
235,BRX
236,BRY
237,BSANTANDER
238,BSIG
239,BSX
240,BTU
241,BUR
242,BURL
243,BWA
244,BWXT
245,BX
246,BXC
247,BXMT
248,BXP
249,BYD
250,BZH
251,C
252,CABO
253,CACC
254,CACI
255,CADE
256,CAG
257,CAH
258,CAL
259,CANO
260,CAR
261,CARR
262,CARS
263,CASA
264,CAT
265,CB
266,CBRE
267,CBSH
268,CBT
269,CC
270,CCCS
271,CCI
272,CCK
273,CCLP
274,CCMP
275,CCO
276,CCO
277,CCS
278,CCSI
279,CCU
280,CDAY
281,CDE
282,CDEV
283,CDK
284,CDNS
285,CDW
286,CEIX
287,CEMEX CPO
288,CENT
289,CENX
290,CEQP
291,CF
292,CFG
293,CFR
294,CFX
295,CG
296,CHD
297,CHDN
298,CHEF
299,CHH
300,CHILE
301,CHK
302,CHRW
303,CHTR
304,CHX
305,CIEN
306,CIR
307,CIVI
308,CIX
309,CL
310,CLF
311,CLH
312,CLMT
313,CLR
314,CLS
315,CLW
316,CLX
317,CM
318,CMA
319,CMC
320,CMCO
321,CMCS.A
322,CME
323,CMI
324,CMIG4
325,CMLS
326,CMP
327,CMPR
328,CMS
329,CMTG
330,CNDT
331,CNHI
332,CNK
333,CNP
334,CNQ
335,CNR
336,CNR
337,CNSL
338,CNTY
339,CNX
340,COF
341,COHR
342,COHU
343,COIN
344,COKE
345,COMM
346,CONE
347,CONN
348,COOK
349,COOP
350,COP
351,COST
352,COTY
353,COWN
354,CP
355,CPACASC1
356,CPB
357,CPE
358,CPRI
359,CPS
360,CPT
361,CQP
362,CR
363,CRC
364,CRG
365,CRI
366,CRK
367,CRL
368,CRM
369,CROX
370,CRS
371,CRSR
372,CRWD
373,CRY
374,CSAN3
375,CSCO
376,CSGN
377,CSGP
378,CSGS
379,CSL
380,CSNA3
381,CSTM
382,CSV
383,CSX
384,CTAS
385,CTLT
386,CTOS
387,CTRA
388,CTRE
389,CTVA
390,CTXS
391,CUBE
392,CURO
393,CVE
394,CVEO
395,CVGI
396,CVI
397,CVNA
398,CVS
399,CVT
400,CVX
401,CWEN.A
402,CWK
403,CWST
404,CXW
405,CYH
406,CYXT
407,CZR
408,D
409,DAC
410,DAL
411,DAN
412,DAR
413,DBD
414,DBK
415,DCO
416,DCP
417,DD
418,DDS
419,DE
420,DELL
421,DFS
422,DG
423,DGE
424,DGII
425,DGX
426,DHC
427,DHI
428,DHR
429,DIS
430,DISC.A
431,DISH
432,DK
433,DKL
434,DKS
435,DLR
436,DLTR
437,DLX
438,DMS
439,DNB
440,DOC
441,DOLE
442,DOOR
443,DOV
444,DOX
445,DRE
446,DRI
447,DRVN
448,DSKE
449,DT
450,DTE
451,DTM
452,DUK
453,DVA
454,DVN
455,DXC
456,DXPE
457,DY
458,EA
459,EAF
460,EAT
461,EBAY
462,EBS
463,ECL
464,ECOL
465,ECOPETROL
466,ED
467,EDN
468,EDR
469,EEFT
470,EFX
471,EHC
472,EIX
473,EL
474,ELAN
475,ELD
476,ELET6
477,ELY
478,EMBR3
479,EME
480,EMN
481,EMR
482,ENB
483,ENDP
484,ENELAM
485,ENELCHILE
486,ENI
487,ENLC
488,ENR
489,ENS
490,ENTG
491,ENVA
492,EOG
493,EPC
494,EPD
495,EPR
496,EPRT
497,EQIX
498,EQNR
499,EQR
500,EQT
501,ERIC B
502,ES
503,ESGR
504,ESI
505,ESS
506,ESTC
507,ET
508,ETN
509,ETR
510,ETRN
511,EVA
512,EVC
513,EVCM
514,EVRG
515,EVRI
516,EW
517,EWBC
518,EXC
519,EXP
520,EXPE
521,EXR
522,F
523,FA
524,FANG
525,FBHS
526,FCF
527,FCFS
528,FCN
529,FCX
530,FDX
531,FE
532,FEMSA UBD
533,FERG
534,FET
535,FHN
536,FICO
537,FIS
538,FISV
539,FITB
540,FL
541,FLEX
542,FLL
543,FLO
544,FLOW
545,FLR
546,FLS
547,FLT
548,FMC
549,FME
550,FNB
551,FND
552,FOCS
553,FOE
554,FOR
555,FOSL
556,FOUR
557,FOXA
558,FPH
559,FR
560,FRC
561,FREE
562,FRG
563,FRT
564,FRTA
565,FTAI
566,FTDR
567,FTI
568,FTNT
569,FTS
570,FTV
571,FUL
572,FUN
573,FUTU
574,G
575,GATX
576,GBDC
577,GBX
578,GCP
579,GD
580,GDEN
581,GE
582,GEF
583,GEL
584,GEO
585,GFF
586,GFI
587,GFL
588,GGBR4
589,GHC
590,GHL
591,GIB.A
592,GIII
593,GILD
594,GIS
595,GLDD
596,GLP
597,GLPI
598,GLT
599,GLW
600,GM
601,GME
602,GMS
603,GNL
604,GOGO
605,GOLL4
606,GOOG.L
607,GOOS
608,GPC
609,GPI
610,GPN
611,GPOR
612,GPRK
613,GPS
614,GRAB
615,GRF
616,GS
